System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
699,Meriwether County,102,George E. Washington Elementary School (PK-6),M,45.2,51.6,,,,0.141592920353982,,,0.141592920353982,Yes,48.4,2015-2016,63.4625,No,No,
699,Meriwether County,200,Mountain View Elementary School,E,84.1,74.1,83.2,62.6,77.5,-0.118906064209275,0.12280701754386,0.238019169329073,0.0806400408878862,Yes,76.3,2015-2019,66.04,Yes,Yes,Beating the Odds
699,Meriwether County,207,Good Sheperd Therapeutic Center,H,,,,,,,,,,,,,,No,,
699,Meriwether County,207,Good Sheperd Therapeutic Center,M,,,,,,,,,,,,,,No,,
699,Meriwether County,300,Greenville High School,H,67.5,62.4,72.0,66.6,57.7,-0.0755555555555556,0.153846153846154,-0.133633633633634,-0.0184476784476784,No,65.24,2015-2019,67.97,No,No,Below Expected Range
699,Meriwether County,300,Greenville Middle - High School,M,53.4,56.1,,,,0.050561797752809,,,0.050561797752809,Yes,54.75,2015-2016,63.4625,No,No,
699,Meriwether County,401,Greenville Middle School,M,,,69.4,61.8,69.9,,,0.131067961165049,0.131067961165049,Yes,65.85,2018-2019,65.75,Yes,Yes,Within Expected Range
699,Meriwether County,4050,Manchester High School,H,52.9,57.2,76.0,72.0,77.0,0.0812854442344046,0.328671328671329,0.0694444444444445,0.159800405783393,Yes,67.02,2015-2019,67.97,No,No,Beating the Odds
699,Meriwether County,5050,Manchester Middle School,M,55.9,52.8,59.9,66.5,60.3,-0.0554561717352415,0.134469696969697,-0.093233082706767,-0.0047398524907704,No,59.08,2015-2019,65.54,No,No,Below Expected Range
699,Meriwether County,ALL,All Schools,E,66.6,57.3,63.7,61.0,69.6,-0.13963963963964,0.111692844677138,0.140983606557377,0.0376789371982918,Yes,63.64,2015-2019,66.04,No,No,
699,Meriwether County,ALL,All Schools,H,57.9,58.8,73.8,70.5,69.6,0.0155440414507772,0.255102040816327,-0.0127659574468086,0.0859600416067651,Yes,66.12,2015-2019,67.97,No,No,
699,Meriwether County,ALL,All Schools,M,54.5,53.8,65.2,64.8,65.2,-0.0128440366972478,0.211895910780669,0.0061728395061729,0.0684082378631982,Yes,60.7,2015-2019,65.54,No,No,
700,Miller County,110,Miller County Elementary School,E,53.0,52.4,57.9,54.6,74.7,-0.0113207547169812,0.104961832061069,0.368131868131868,0.153924315158652,Yes,58.52,2015-2019,66.04,No,No,Beating the Odds
700,Miller County,210,Miller County High School,H,52.1,71.5,68.6,56.5,61.2,0.37236084452975,-0.0405594405594406,0.0831858407079647,0.138329081559425,Yes,61.98,2015-2019,67.97,No,No,Below Expected Range
700,Miller County,310,Miller County Middle School,M,74.5,68.9,70.7,61.7,72.0,-0.0751677852348993,0.0261248185776487,0.166936790923825,0.0392979414221915,Yes,69.56,2015-2019,65.54,Yes,Yes,Within Expected Range
700,Miller County,ALL,All Schools,E,52.0,52.4,57.4,54.6,74.7,0.0076923076923076,0.0954198473282443,0.368131868131868,0.157081341050807,Yes,58.22,2015-2019,66.04,No,No,
700,Miller County,ALL,All Schools,H,52.1,71.5,68.6,56.5,61.2,0.37236084452975,-0.0405594405594406,0.0831858407079647,0.138329081559425,Yes,61.98,2015-2019,67.97,No,No,
700,Miller County,ALL,All Schools,M,74.0,68.9,70.2,61.7,72.0,-0.0689189189189188,0.0188679245283018,0.166936790923825,0.038961932177736,Yes,69.36,2015-2019,65.54,Yes,Yes,
701,Mitchell County,105,Baconton Community Charter School,E,86.1,86.7,91.7,80.8,54.3,0.0069686411149826,0.0576701268742791,-0.327970297029703,-0.0877771763468137,No,79.92,2015-2019,66.04,Yes,No,Below Expected Range
701,Mitchell County,105,Baconton Community Charter School,H,90.7,86.5,91.6,79.2,78.3,-0.0463065049614113,0.0589595375722543,-0.0113636363636364,0.0004297987490688,Yes,85.26,2015-2019,67.97,Yes,Yes,Below Expected Range
701,Mitchell County,105,Baconton Community Charter School,M,71.9,76.4,69.0,62.9,70.9,0.062586926286509,-0.0968586387434556,0.127186009538951,0.0309714323606681,Yes,70.22,2015-2019,65.54,Yes,Yes,Below Expected Range
701,Mitchell County,111,Mitchell County Elementary School,E,55.4,55.6,51.6,57.9,47.2,0.0036101083032491,-0.0719424460431655,-0.184801381692573,-0.0843779064774965,No,53.54,2015-2019,66.04,No,No,Below Expected Range
701,Mitchell County,197,Mitchell County Middle School,E,,,70.4,44.3,47.4,,,0.0699774266365689,0.0699774266365689,Yes,45.85,2018-2019,65.75,No,No,Below Expected Range
701,Mitchell County,197,Mitchell County Middle School,M,72.8,72.0,75.0,70.6,51.3,-0.010989010989011,0.0416666666666667,-0.273371104815864,-0.0808978163794028,No,68.34,2015-2019,65.54,Yes,No,Below Expected Range
701,Mitchell County,198,Mitchell County Primary School,E,55.3,54.4,,68.9,37.1,-0.0162748643761302,,-0.461538461538462,-0.238906662957296,No,53.925,"2015-2016, 2018-2019",65.9,No,No,Below Expected Range
701,Mitchell County,282,Mitchell County High School,H,82.6,74.0,62.1,57.3,66.8,-0.10411622276029,-0.160810810810811,0.165794066317627,-0.0330443224178249,No,68.56,2015-2019,67.97,Yes,No,Below Expected Range
701,Mitchell County,282,Mitchell County High School,M,,,65.4,42.7,36.3,,,-0.149882903981265,-0.149882903981265,No,39.5,2018-2019,65.75,No,No,Below Expected Range
701,Mitchell County,ALL,All Schools,E,62.9,63.7,69.9,56.9,51.7,0.0127186009538951,0.0973312401883831,-0.0913884007029876,0.0062204801464302,Yes,61.02,2015-2019,66.04,No,No,
701,Mitchell County,ALL,All Schools,H,86.2,80.3,69.9,65.6,73.0,-0.0684454756380511,-0.129514321295143,0.112804878048781,-0.0283849729614712,No,75.0,2015-2019,67.97,Yes,No,
701,Mitchell County,ALL,All Schools,M,71.5,72.8,71.8,57.5,58.9,0.0181818181818181,-0.0137362637362637,0.0243478260869565,0.0095977935108369,Yes,66.5,2015-2019,65.54,Yes,Yes,
702,Monroe County,105,T.G. Scott Elementary School,E,77.2,78.9,82.8,81.4,89.0,0.0220207253886011,0.0494296577946767,0.0933660933660933,0.054938825516457,Yes,81.86,2015-2019,66.04,Yes,Yes,Beating the Odds
702,Monroe County,111,Katherine B. Sutton Elementary School,E,82.6,88.1,88.7,78.0,85.8,0.0665859564164649,0.0068104426787742,0.1,0.057798799698413,Yes,84.64,2015-2019,66.04,Yes,Yes,Beating the Odds
702,Monroe County,113,"Monroe County Middle School, Banks Stephens Campus",M,74.5,74.6,81.9,79.8,84.6,0.0013422818791945,0.0978552278820377,0.0601503759398496,0.0531159619003606,Yes,79.08,2015-2019,65.54,Yes,Yes,Beating the Odds
702,Monroe County,184,Mary Persons High School,H,65.4,72.8,84.1,84.1,86.7,0.113149847094801,0.15521978021978,0.0309155766944115,0.0997617346696643,Yes,78.62,2015-2019,67.97,Yes,Yes,Beating the Odds
702,Monroe County,205,Samuel E. Hubbard Elementary School,E,70.0,62.4,75.8,82.5,89.6,-0.108571428571429,0.21474358974359,0.086060606060606,0.064077589077589,Yes,76.06,2015-2019,66.04,Yes,Yes,Beating the Odds
702,Monroe County,ALL,All Schools,E,75.8,76.2,80.2,80.5,89.8,0.0052770448548813,0.05249343832021,0.115527950310559,0.0577661444952168,Yes,80.5,2015-2019,66.04,Yes,Yes,
702,Monroe County,ALL,All Schools,H,64.9,72.3,83.1,84.1,86.7,0.11402157164869,0.149377593360996,0.0309155766944115,0.0981049139013658,Yes,78.22,2015-2019,67.97,Yes,Yes,
702,Monroe County,ALL,All Schools,M,74.0,73.6,80.9,79.8,84.6,-0.0054054054054054,0.0991847826086958,0.0601503759398496,0.05130991771438,Yes,78.58,2015-2019,65.54,Yes,Yes,
703,Montgomery County,101,Montgomery County Middle School,M,62.4,68.1,72.7,76.1,85.4,0.0913461538461538,0.0675477239353893,0.122207621550591,0.0937004997773782,Yes,72.94,2015-2019,65.54,Yes,Yes,Beating the Odds
