2020 Census Tract,Environmental Health Index,Transit Access Index,Percent of Population Above the Poverty Level,Median Income,Jobs Proximity Index,GEOID,pool,above_median_Environmental Health Index,above_median_Transit Access Index,above_median_Percent of Population Above the Poverty Level,above_median_Median Income,above_median_Jobs Proximity Index
13021013607,0.559694364851958,0.5126411389297987,95.9,75921.0,0.557464710034244,13021013607,other metro,1,0,1,1,0
13021013608,0.5100286532951289,0.5802650957290132,96.3,100400.0,0.582392172540403,13021013608,other metro,1,0,1,1,0
13021013701,0.1174785100286533,0.7826460481099655,74.7,33725.0,0.6797066720761601,13021013701,other metro,0,1,0,0,1
13021013702,0.14804202483285583,0.722344951726395,57.7,,0.8657140500800569,13021013702,other metro,0,1,0,0,1
13021013800,0.15854823304680032,0.6800441826215022,37.2,13546.0,0.7885927032049656,13021013800,other metro,0,1,0,0,1
13021013900,0.18051575931232092,0.635861561119293,77.2,35234.0,0.6890546660045967,13021013900,other metro,0,1,0,0,1
13021014000,0.17574021012416421,0.642284405171003,53.4,26964.0,0.6449374215178164,13021014000,other metro,0,1,0,0,1
13023790100,0.7306590257879656,0.5330551464572083,89.0,55833.0,0.6395016917079503,13023790100,other metro,1,0,1,0,1
13023790200,0.6179560649474689,0.584519718540337,79.6,48092.0,0.5751187921733658,13023790200,other metro,1,0,0,0,0
13023790301,0.6800382043935052,0.6225249549991818,76.9,29506.0,0.6386108564397768,13023790301,other metro,1,1,0,0,1
13023790302,0.7707736389684814,0.46236295205367367,76.1,46667.0,0.5699318789877857,13023790302,other metro,1,0,0,0,0
13025960101,0.7803247373447946,0.5052773686794305,80.8,43114.0,0.5346417374451573,13025960101,other metro,1,0,0,0,0
13025960102,0.8290353390639923,0.46768123056782845,67.9,32450.0,0.5480345928937864,13025960102,other metro,1,0,0,0,0
13025960201,0.8452722063037249,0.5181639666175748,87.2,21502.0,0.5061023160225158,13025960201,other metro,1,0,1,0,0
13025960202,0.7946513849092645,0.42664866633938797,89.3,48316.0,0.49973874132056934,13025960202,other metro,1,0,1,0,0
13025960300,0.7975167144221585,0.5656193748977254,88.8,43759.0,0.5611450432311218,13025960300,other metro,1,0,1,0,0
13027960200,0.8204393505253104,0.46412207494681723,87.1,31528.0,0.5879766381925419,13027960200,other metro,1,0,1,0,0
13027960301,0.7669531996179562,0.4574537718867615,80.1,61250.0,0.6017396405410054,13027960301,other metro,1,0,0,1,1
13027960302,0.6962750716332379,0.5789968908525609,65.4,45000.0,0.6637943339052541,13027960302,other metro,1,0,0,0,1
13027960400,0.667621776504298,0.5542873506791033,70.3,32009.0,0.6087842017869834,13027960400,other metro,1,0,0,0,1
13027960500,0.6427889207258835,0.6365161184748813,74.3,32094.0,0.5970440576552858,13027960500,rural,0,1,0,0,1
