System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
608,Bartow County,301,Adairsville Middle School,M,72.6,81.4,71.3,71.4,71.1,0.121212121,-0.124078624,-0.004201681,-0.002356061,No,73.56,2015-2019,65.54,Yes,No,Below Expected Range
608,Bartow County,377,Hamilton Crossing Elementary School,E,61.2,67.4,69.7,65.2,71.2,0.10130719,0.034124629,0.09202454,0.075818786,Yes,66.94,2015-2019,66.04,Yes,Yes,Below Expected Range
608,Bartow County,396,Taylorsville Elementary School,E,66.8,72.7,73.5,69.2,67,0.088323353,0.011004127,-0.031791908,0.022511857,Yes,69.84,2015-2019,66.04,Yes,Yes,Below Expected Range
608,Bartow County,2052,Emerson Elementary School,E,71.7,79.4,79.1,59.1,62.3,0.107391911,-0.003778338,0.054145516,0.052586363,Yes,70.32,2015-2019,66.04,Yes,Yes,Below Expected Range
608,Bartow County,ALL,All Schools,E,68.9,72.6,71.4,78.4,70.3,0.053701016,-0.016528926,-0.103316327,-0.022048079,No,72.32,2015-2019,66.04,Yes,No,
608,Bartow County,ALL,All Schools,H,68.4,72.8,71.8,75.5,69.9,0.064327485,-0.013736264,-0.074172185,-0.007860321,No,71.68,2015-2019,67.97,Yes,No,
608,Bartow County,ALL,All Schools,M,68.5,71.9,68.1,66.5,67,0.049635036,-0.052851182,0.007518797,0.001434217,Yes,68.4,2015-2019,65.54,Yes,Yes,
609,Ben Hill County,111,Ben Hill Elementary School,E,69.8,64.6,61.9,48.5,68.4,-0.074498567,-0.041795666,0.410309278,0.098005015,Yes,62.64,2015-2019,66.04,No,No,Within Expected Range
609,Ben Hill County,196,Ben Hill County Primary School,E,,,,45.7,75.3,,,0.647702407,0.647702407,Yes,60.5,2018-2019,65.75,No,No,Beating the Odds
609,Ben Hill County,291,Fitzgerald High School,H,67.1,67.8,65.2,59.8,62.5,0.010432191,-0.038348083,0.045150502,0.00574487,Yes,64.48,2015-2019,67.97,No,No,Below Expected Range
609,Ben Hill County,296,Ben Hill County Middle School,M,72.2,72.1,64.3,67.7,59.1,-0.001385042,-0.108183079,-0.127031019,-0.07886638,No,67.08,2015-2019,65.54,Yes,No,Below Expected Range
609,Ben Hill County,ALL,All Schools,E,68.5,63.9,61.3,48.5,67.9,-0.067153285,-0.040688576,0.4,0.097386046,Yes,62.02,2015-2019,66.04,No,No,
609,Ben Hill County,ALL,All Schools,H,66.1,66.8,64.7,59.8,62.5,0.010590015,-0.031437126,0.045150502,0.00810113,Yes,63.98,2015-2019,67.97,No,No,
609,Ben Hill County,ALL,All Schools,M,70.7,71.1,63.3,67.7,59.1,0.005657709,-0.109704641,-0.127031019,-0.077025984,No,66.38,2015-2019,65.54,Yes,No,
610,Berrien County,101,Berrien High School,H,79.9,86.4,83.9,76.6,73.2,0.08135169,-0.028935185,-0.044386423,0.002676694,Yes,80,2015-2019,67.97,Yes,Yes,Within Expected Range
610,Berrien County,106,Berrien Academy Performance Learning Center,H,48,54.2,59,61.1,71,0.129166667,0.088560886,0.16202946,0.126585671,Yes,58.66,2015-2019,67.97,No,No,Beating the Odds
610,Berrien County,194,Berrien Middle School,M,78.1,83.3,78.4,80.4,68.1,0.066581306,-0.058823529,-0.152985075,-0.048409099,No,77.66,2015-2019,65.54,Yes,No,Below Expected Range
610,Berrien County,195,Berrien Elementary School,E,80.8,83.4,86,79,68.8,0.032178218,0.03117506,-0.129113924,-0.021920215,No,79.6,2015-2019,66.04,Yes,No,Below Expected Range
610,Berrien County,5050,Berrien Primary School,E,,,,59.1,77.5,,,0.311336717,0.311336717,Yes,68.3,2018-2019,65.75,Yes,Yes,Beating the Odds
610,Berrien County,ALL,All Schools,E,80.7,83.3,84.9,79,68.7,0.032218092,0.019207683,-0.130379747,-0.026317991,No,79.32,2015-2019,66.04,Yes,No,
610,Berrien County,ALL,All Schools,H,76.9,82.9,81.7,74.4,72.6,0.078023407,-0.014475271,-0.024193548,0.013118196,Yes,77.7,2015-2019,67.97,Yes,Yes,
610,Berrien County,ALL,All Schools,M,77.1,82.1,77.9,80.4,68.1,0.064850843,-0.051157125,-0.152985075,-0.046430452,No,77.12,2015-2019,65.54,Yes,No,
611,Bibb County,103,Skyview Elementary School,E,75.1,70.5,91.2,77.6,83.8,-0.061251664,0.293617021,0.079896907,0.104087421,Yes,79.64,2015-2019,66.04,Yes,Yes,Beating the Odds
611,Bibb County,104,Burdell Elementary School,E,70.4,76.1,68.3,55.9,76.4,0.080965909,-0.102496715,0.366726297,0.115065164,Yes,69.42,2015-2019,66.04,Yes,Yes,Beating the Odds
611,Bibb County,105,Howard High School,H,71.3,78.4,80.2,68.3,71.3,0.099579243,0.022959184,0.043923865,0.055487431,Yes,73.9,2015-2019,67.97,Yes,Yes,Within Expected Range
611,Bibb County,107,Bloomfield Middle School,M,48.5,,,,,,,,,,,,,No,,
611,Bibb County,108,Ballard Hudson Middle School,M,47,42.4,47.1,55.8,40.3,-0.09787234,0.110849057,-0.277777778,-0.088267021,No,46.52,2015-2019,65.54,No,No,Below Expected Range
611,Bibb County,109,Bruce Elementary School,E,48.1,49,52.7,62.7,64.9,0.018711019,0.075510204,0.035087719,0.043102981,Yes,55.48,2015-2019,66.04,No,No,Beating the Odds
611,Bibb County,117,Academy For Classical Education,E,74,85.2,87.4,84.9,91.1,0.151351351,0.025821596,0.073027091,0.083400013,Yes,84.52,2015-2019,66.04,Yes,Yes,Within Expected Range
611,Bibb County,117,Academy For Classical Education,H,,95.9,103.3,93.9,98.1,,0.077163712,0.044728435,0.060946073,Yes,97.8,2016-2019,67.725,Yes,Yes,Within Expected Range
611,Bibb County,117,Academy For Classical Education,M,84.4,93.5,96.1,84.6,90.7,0.107819905,0.027807487,0.072104019,0.069243804,Yes,89.86,2015-2019,65.54,Yes,Yes,Within Expected Range
611,Bibb County,186,Central High School,H,54.9,62.5,71.3,67.1,62.9,0.138433515,0.1408,-0.062593145,0.072213457,Yes,63.74,2015-2019,67.97,No,No,Below Expected Range
611,Bibb County,198,Westside High School,H,63.1,57.7,67.6,53.5,50,-0.085578447,0.171577123,-0.065420561,0.006859372,Yes,58.38,2015-2019,67.97,No,No,Below Expected Range
611,Bibb County,203,Vineville Academy,E,73,82,81.3,67.2,72.6,0.123287671,-0.008536585,0.080357143,0.065036076,Yes,75.22,2015-2019,66.04,Yes,Yes,Below Expected Range
611,Bibb County,204,Rutland High School,H,63.6,68.3,61.9,62.6,65.9,0.073899371,-0.093704246,0.052715655,0.01097026,Yes,64.46,2015-2019,67.97,No,No,Below Expected Range
611,Bibb County,205,Howard Middle School,M,72.1,70.4,73.9,63.5,68.3,-0.023578363,0.049715909,0.075590551,0.033909366,Yes,69.64,2015-2019,65.54,Yes,Yes,Within Expected Range
611,Bibb County,286,Northeast High School,H,61.7,52.6,66.6,55.1,65,-0.147487844,0.266159696,0.179673321,0.099448391,Yes,60.2,2015-2019,67.97,No,No,Within Expected Range
