sys_sch,System ID,System Name,School ID,School Name,2019 CCRPI Single Score,2019 BTO Designation
6235050,623,Catoosa County,5050,Graysville Elementary School,80.1,Within Expected Range
623109,623,Catoosa County,109,Heritage High School,79.8,Within Expected Range
623205,623,Catoosa County,205,Heritage Middle School,79.9,Within Expected Range
6232552,623,Catoosa County,2552,Lakeview Middle School,74.5,Within Expected Range
6231052,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,72.7,Within Expected Range
6233052,623,Catoosa County,3052,Ringgold Elementary School,65.8,Below Expected Range
6234052,623,Catoosa County,4052,Ringgold High School,80.4,Beating the Odds
6235052,623,Catoosa County,5052,Ringgold Middle School,91.5,Beating the Odds
623100,623,Catoosa County,100,Ringgold Primary School,70.3,Below Expected Range
623185,623,Catoosa County,185,Tiger Creek Elementary School,69.4,Below Expected Range
6231054,623,Catoosa County,1054,West Side Elementary School,69,Below Expected Range
623105,623,Catoosa County,105,Woodstation Elementary School,67.7,Below Expected Range
624112,624,Charlton County,112,Bethune Middle School,81.8,Beating the Odds
624287,624,Charlton County,287,Charlton County High School,70.9,Below Expected Range
624199,624,Charlton County,199,Folkston Elementary School,84.4,Beating the Odds
6244050,624,Charlton County,4050,St. George Elementary School,80.2,Beating the Odds
626101,626,Chattahoochee County,101,Chattahoochee County Education Center,75,Beating the Odds
626206,626,Chattahoochee County,206,Chattahoochee County High School,79.1,Within Expected Range
626106,626,Chattahoochee County,106,Chattahoochee County Middle School,68,Below Expected Range
627111,627,Chattooga County,111,Chattooga Academy,43.8,Within Expected Range
6271050,627,Chattooga County,1050,Chattooga High School,78.8,Beating the Odds
627106,627,Chattooga County,106,Leroy Massey Elementary School,70.5,Within Expected Range
6272050,627,Chattooga County,2050,Lyerly Elementary School,80.3,Beating the Odds
6273050,627,Chattooga County,3050,Menlo Elementary School,67.6,Below Expected Range
6272052,627,Chattooga County,2052,Summerville Middle School,76.4,Within Expected Range
628397,628,Cherokee County,397,Arnold Mill Elementary School,86.7,Within Expected Range
628108,628,Cherokee County,108,Avery Elementary School,87.7,Within Expected Range
628213,628,Cherokee County,213,Ball Ground Elementary School,62.8,Below Expected Range
628196,628,Cherokee County,196,Bascomb Elementary School,93.9,Beating the Odds
628189,628,Cherokee County,189,Boston Elementary School,75.9,Below Expected Range
628101,628,Cherokee County,101,Carmel Elementary School,76.2,Below Expected Range
6285050,628,Cherokee County,5050,Cherokee High School,76,Within Expected Range
628313,628,Cherokee County,313,Clark Creek Elementary School,86.9,Beating the Odds
6281052,628,Cherokee County,1052,Clayton Elementary School,80.3,Within Expected Range
628305,628,Cherokee County,305,Creekland Middle School,85,Within Expected Range
628106,628,Cherokee County,106,Creekview High School,89,Within Expected Range
628187,628,Cherokee County,187,Dean Rusk Middle School,83.8,Within Expected Range
628181,628,Cherokee County,181,E. T. Booth Middle School,79.2,Within Expected Range
628176,628,Cherokee County,176,Etowah High School,83.4,Within Expected Range
628505,628,Cherokee County,505,Free Home Elementary School,73.9,Below Expected Range
628205,628,Cherokee County,205,Freedom Middle School,80,Below Expected Range
6283052,628,Cherokee County,3052,Hickory Flat Elementary School,88.6,Within Expected Range
628199,628,Cherokee County,199,Holly Springs Elementary School,84.2,Within Expected Range
628116,628,Cherokee County,116,Indian Knoll Elementary,82.4,Within Expected Range
628509,628,Cherokee County,509,J. Knox Elementary,73.2,Below Expected Range
