ID_NUMBER,FACILITY_NAME,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,ACTIVE_SITE,OPERATING_TSDF,NAICS_CODE
GAR000011841,ESOTERIC AUDIO USA,------,Other,44 PEARL PENTECOST,WINDER,GA,30680,33.99444,-83.76382,N  ,-----,------         ,
GAD981223787,LANDMARK OLDS CADILLAC,------,Other,741 RUSSELL PKWY,WARNER ROBINS,GA,31088,32.593814,-83.636013,N  ,-----,------         ,44111
GAR000028233,GPM INC,------,Other,206 PINEBARREN RD,POOLER,GA,31210,,,N  ,-----,------         ,
GAD981226442,CUBBEDGE DIESEL SERVICE,------,Other,2206 HWY 80,GARDEN CITY,GA,31418,,,N  ,-----,------         ,811118
GAD981260250,CAIRO SALES CORP BODY SHOP,------,Other,HWY 84 EAST,CAIRO,GA,31728,,,N  ,-----,------         ,
GAD984296186,SUWANNEE SWIFTY GROCERY,------,Other,200 E CHURCH STREET,FORT VALLEY,GA,31030,32.55406,-83.881475,N  ,-----,------         ,
GAR000036228,NYPRO INC,------,Other,1747 OAK HAVEN DR,ALBANY,GA,31708,,,N  ,-----,------         ,326199
GAD984289447,JOHN T FRIIS COMPANY,------,Other,HWY 376,CLYATTVILLE,GA,31604,,,N  ,-----,------         ,
GAD981273840,FEDERAL EXPRESS CORP,------,Other,2347 CENTENNIAL CIRCLE,GAINESVILLE,GA,30501,34.260207,-83.863809,N  ,-----,------         ,
GAD981224595,THE ATLANTA COCA-COLA BOTTLING CO,------,Other,440 OAK ST,MACON,GA,31208,32.829677,-83.630885,N  ,-----,------         ,
GA0000597500,SHAW INDUSTRIES INC PLANT 85,------,Other,VICTORY DR,ELLIJAY,GA,30540,,,N  ,-----,------         ,
GAD003279544,MACON MANUFACTURING INC,------,Other,510 11TH ST,MACON,GA,31202,32.826543,-83.616566,N  ,-----,------         ,11111
GAD984318675,ELECTRICAL MACHINERY COMPANY,------,Other,1450 WEST BAY ST,SAVANNAH,GA,31498,32.087886,-81.116833,N  ,-----,------         ,
GAR000036608,ENTERTAINMENT DESIGN GROUP FREIGHT DEPOT,------,Other,1651 BLAIRS BRIDGE RD,LITHIA SPRINGS,GA,30168,,,N  ,-----,------         ,33995
GAR000000737,TIMES THE,------,Other,345 GREEN ST NE,GAINESVILLE,GA,30501,34.302293,-83.826271,N  ,-----,------         ,
GAD981237779,FLINT EQUIPMENT CO,------,SQG,1206 BLAYLOCK ST,ALBANY,GA,31705,31.596631,-84.125209,2  ,H----,------         ,811310
GAD984307785,TOUCHSTONE CLEANERS,------,Other,39 EAST MAY ST,WINDER,GA,30680,33.990618,-83.722569,N  ,-----,------         ,
GAD984304113,WALL TIRE,------,Other,1102 S MAIN ST,GREENSBORO,GA,30642,33.565206,-83.183993,N  ,-----,------         ,
GAD984309070,ANDERSONS TEXACO,------,Other,2204 GLYNN AVE,BRUNSWICK,GA,31520,31.162826,-81.476364,N  ,-----,------         ,
