SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
KIK (GEORGIA) LLC,75 PINE VIEW DRIVE,HAMPTON,HENRY,30228-3170,GA,33.409268,-84.2927,325612 Polish And Other Sanitation Good Manufacturing
OLIN CORP,2402 DOUG BARNARD PKWY.,AUGUSTA,RICHMOND,30906,GA,33.34058,-81.95737,325180 Other Basic Inorganic Chemical Manufacturing
"GAVILON FERTILIZER, LLC",5 SKIDAWAY VILLAGE WALK,SAVANNAH,CHATHAM,31411,GA,31.93992,-81.05184,424910 Farm Supplies Merchant Wholesalers
"PVS TECHNOLOGIES, INC. (AUGUSTA)",2404 DOUG BARNARD PARKWAY,AUGUSTA,RICHMOND,30906-8719,GA,33.340848,-81.957529,325180 Other Basic Inorganic Chemical Manufacturing
IMERYS CLAYS INC. (SAVANNAH TERMINAL),51 JOHNNY MERCER BLVD,SAVANNAH,CHATHAM COUNTY,31410,GA,32.03429,-81.0081,327999 All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
IMERYS CLAYS INC. (DEEPSTEP ROAD PLANT),4062 DEEPSTEP ROAD,SANDERSVILLE,WASHINGTON COUNTY,31082-4976,GA,33.026005,-82.879837,325180 Other Basic Inorganic Chemical Manufacturing
IMERYS SANDERSVILLE CALCINE PLANT,618 KAOLIN ROAD,SANDERSVILLE,WASHINGTON,31082-1610,GA,32.96484,-82.82182,325180 Other Basic Inorganic Chemical Manufacturing
BASF CORP - SAVANNAH OPERATIONS,1800 EAST PRESIDENT STREET,SAVANNAH,CHATHAM,31404-1020,GA,32.078611,-81.054444,327992 Ground Or Treated Mineral And Earth Manufacturing
IMERYS REFRACTORY MINERALS,1949 HWY 49 S.,ANDERSONVILLE,SUMTER COUNTY,31711,GA,32.188335,-84.137016,212399 All Other Nonmetallic Mineral Mining
THIELE KAOLIN SANDERSVILLE,520 KAOLIN RD,SANDERSVILLE,WASHINGTON,31082,GA,32.96749,-82.81749,212324 Kaolin And Ball Clay Mining
