2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13053020205,65,35,30,130,75,70,245,390,0.3333333333333333
13053020206,0,0,0,0,0,0,0,0,-
13055010100,20,0,0,20,30,10,65,105,0.19047619047619047
13055010201,15,0,0,15,60,70,45,175,0.08571428571428572
13055010202,35,30,55,120,80,95,145,320,0.375
13055010300,15,35,10,60,50,105,50,205,0.2926829268292683
13055010401,0,0,0,0,15,70,25,110,0
13055010402,175,20,40,235,370,230,60,660,0.3560606060606061
13055010501,0,0,20,20,0,10,100,110,0.18181818181818182
13055010502,45,10,0,55,150,130,200,480,0.11458333333333333
13055010600,0,0,4,4,15,10,50,75,0.05333333333333334
13057090101,20,0,0,20,25,15,190,230,0.08695652173913043
13057090102,30,0,0,30,30,0,45,75,0.4
13057090103,4,4,0,8,4,15,85,104,0.07692307692307693
13057090201,95,0,0,95,95,35,55,185,0.5135135135135135
13057090202,95,0,4,99,110,15,65,190,0.5210526315789473
13057090301,0,75,0,75,35,95,0,130,0.5769230769230769
13057090302,0,0,0,0,0,50,0,50,0
13057090303,0,0,0,0,0,85,90,175,0
13057090401,275,130,40,445,345,390,645,1380,0.322463768115942
13057090402,10,0,10,20,10,65,170,245,0.08163265306122448
13057090503,0,0,0,0,0,0,0,0,-
13057090504,0,0,0,0,0,0,0,0,-
13057090505,0,0,0,0,0,0,0,0,-
13057090506,25,0,0,25,40,0,15,55,0.45454545454545453
13057090507,0,0,0,0,0,0,0,0,-
13057090603,30,20,15,65,30,60,85,175,0.37142857142857144
13057090604,125,30,0,155,140,150,65,355,0.43661971830985913
13057090605,185,30,20,235,210,80,250,540,0.4351851851851852
13057090606,85,0,0,85,150,20,160,330,0.25757575757575757
13057090703,30,45,0,75,85,420,335,840,0.08928571428571429
13057090704,0,260,0,260,0,260,95,355,0.7323943661971831
13057090705,195,0,0,195,265,0,0,265,0.7358490566037735
13057090706,0,0,0,0,0,0,0,0,-
13057090707,0,0,0,0,85,0,0,85,0
13057090708,50,130,0,180,50,260,175,485,0.3711340206185567
13057090709,0,45,0,45,15,45,0,60,0.75
13057090710,0,0,0,0,0,0,0,0,-
13057090805,25,0,0,25,50,40,0,90,0.2777777777777778
13057090806,0,0,0,0,0,20,20,40,0
13057090807,70,30,0,100,70,50,0,120,0.8333333333333334
13057090808,0,15,0,15,0,35,0,35,0.42857142857142855
13057090809,0,0,0,0,0,20,20,40,0
13057090810,15,0,0,15,15,0,55,70,0.21428571428571427
13057090905,90,35,0,125,105,70,275,450,0.2777777777777778
13057090906,0,0,4,4,25,0,40,65,0.06153846153846154
13057090907,15,0,0,15,15,95,60,170,0.08823529411764706
13057090908,0,0,25,25,0,0,25,25,1
13057090909,110,70,10,190,110,265,320,695,0.2733812949640288
13057090910,60,0,65,125,60,80,65,205,0.6097560975609756
13057090911,0,0,0,0,0,0,20,20,0
13057090912,0,15,0,15,25,20,0,45,0.3333333333333333
13057091001,200,95,10,305,225,195,290,710,0.4295774647887324
13057091006,40,0,0,40,40,0,10,50,0.8
13057091007,0,0,0,0,0,0,50,50,0
13057091009,85,15,45,145,85,115,95,295,0.4915254237288136
13057091010,0,0,0,0,0,20,0,20,0
13057091011,365,60,0,425,365,75,175,615,0.6910569105691057
13057091012,95,120,0,215,125,120,20,265,0.8113207547169812
13057091013,55,60,0,115,55,150,145,350,0.32857142857142857
13057091014,200,155,0,355,215,260,170,645,0.5503875968992248
13057091101,100,0,0,100,145,15,25,185,0.5405405405405406
13057091104,0,15,0,15,10,15,75,100,0.15
13057091105,55,215,30,300,140,215,260,615,0.4878048780487805
13057091106,60,40,0,100,60,60,170,290,0.3448275862068966
13057091107,15,0,0,15,15,0,65,80,0.1875
13057091108,0,0,30,30,0,0,50,50,0.6
13059000100,545,25,0,570,690,50,105,845,0.6745562130177515
13059000401,240,20,10,270,290,110,120,520,0.5192307692307693
13059000402,180,15,4,199,230,45,30,305,0.6524590163934426
