cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
1300000,13,193,13193,0001.00,0,1.3193E+11,13193000100
1300000,13,031,13031,1104.07,0,1.30311E+11,13031110407
1300000,13,309,13309,7802,0,1.33098E+11,13309780200
1300000,13,261,13261,9506,0,1.3262E+11,13261950600
1300000,13,031,13031,1104.08,0,1.30311E+11,13031110408
1300000,13,061,13061,9603,0,1.3062E+11,13061960300
1300000,13,133,13133,9503.05,0,1.3134E+11,13133950305
1300000,13,099,13099,0902.00,0,1.30991E+11,13099090200
1300000,13,301,13301,9704,0,1.3302E+11,13301970400
1300000,13,141,13141,4804,0,1.31415E+11,13141480400
1300000,13,315,13315,9601,0,1.3316E+11,13315960100
1300000,13,277,13277,9604.02,0,1.3278E+11,13277960402
1300000,13,099,13099,0905.00,0,1.30991E+11,13099090500
1300000,13,261,13261,9507,0,1.3262E+11,13261950700
1300000,13,253,13253,2002,0,1.32532E+11,13253200200
1300000,13,277,13277,9607,0,1.3278E+11,13277960700
1300000,13,009,13009,9706,0,1.301E+11,13009970600
1300000,13,271,13271,9501.01,0,1.3272E+11,13271950101
1300000,13,279,13279,9705,0,1.328E+11,13279970500
1300000,13,283,13283,9602,0,1.3284E+11,13283960200
1300000,13,317,13317,0103.02,0,1.3317E+11,13317010302
1300000,13,071,13071,9704,0,1.3072E+11,13071970400
1300000,13,087,13087,9704,0,1.3088E+11,13087970400
1300000,13,107,13107,9704.01,0,1.3108E+11,13107970401
1300000,13,293,13293,0104.02,0,1.3293E+11,13293010402
1300000,13,193,13193,0002.00,0,1.3193E+11,13193000200
1300000,13,275,13275,9607.01,0,1.3276E+11,13275960701
1300000,13,081,13081,0104.00,0,1.3081E+11,13081010400
1300000,13,251,13251,9704.01,0,1.3252E+11,13251970401
1300000,13,175,13175,9510.01,0,1.3176E+11,13175951001
1300000,13,005,13005,9702.02,0,1.3006E+11,13005970202
1300000,13,277,13277,9606.01,0,1.3278E+11,13277960601
1300000,13,243,13243,7901,0,1.32438E+11,13243790100
1300000,13,175,13175,9511,0,1.3176E+11,13175951100
1300000,13,175,13175,9508,0,1.3176E+11,13175950800
1300000,13,175,13175,9510.02,0,1.3176E+11,13175951002
1300000,13,007,13007,9601,0,1.3008E+11,13007960100
1300000,13,055,13055,0104.02,0,1.3055E+11,13055010402
1300000,13,133,13133,9504,0,1.3134E+11,13133950400
1300000,13,175,13175,9505,0,1.3176E+11,13175950500
1300000,13,039,13039,0106.03,0,1.3039E+11,13039010603
1300000,13,131,13131,9504.02,0,1.3132E+11,13131950402
1300000,13,105,13105,0004.00,0,1.3105E+11,13105000400
1300000,13,317,13317,0101.02,0,1.3317E+11,13317010102
1300000,13,275,13275,9601,0,1.3276E+11,13275960100
1300000,13,019,13019,9704,0,1.302E+11,13019970400
1300000,13,087,13087,9703.01,0,1.3088E+11,13087970301
1300000,13,293,13293,0105.00,0,1.3293E+11,13293010500
1300000,13,065,13065,9701,0,1.3066E+11,13065970100
1300000,13,055,13055,0103.00,0,1.3055E+11,13055010300
1300000,13,137,13137,0006.04,0,1.3137E+11,13137000604
1300000,13,285,13285,9606,0,1.3286E+11,13285960600
1300000,13,069,13069,0108.01,0,1.3069E+11,13069010801
1300000,13,161,13161,9601.01,0,1.3162E+11,13161960101
1300000,13,319,13319,9603,0,1.332E+11,13319960300
1300000,13,285,13285,9604.01,0,1.3286E+11,13285960401
1300000,13,031,13031,1106.02,0,1.30311E+11,13031110602
1300000,13,081,13081,0101.00,0,1.3081E+11,13081010100
1300000,13,037,13037,9502,0,1.3038E+11,13037950200
1300000,13,003,13003,9603,0,1.3004E+11,13003960300
1300000,13,049,13049,0101.02,0,1.3049E+11,13049010102
1300000,13,001,13001,9502.02,0,1.3002E+11,13001950202
1300000,13,055,13055,0102.02,0,1.3055E+11,13055010202
1300000,13,261,13261,9503,0,1.3262E+11,13261950300
1300000,13,269,13269,9503.02,0,1.327E+11,13269950302
1300000,13,081,13081,0102.01,0,1.3081E+11,13081010201
1300000,13,001,13001,9505,0,1.3002E+11,13001950500
1300000,13,099,13099,0904.00,0,1.30991E+11,13099090400
1300000,13,235,13235,9502.01,0,1.3236E+11,13235950201
1300000,13,087,13087,9703.02,0,1.3088E+11,13087970302
1300000,13,201,13201,9501,0,1.3202E+11,13201950100
15260,13,127,13127,0008.00,0,1.3127E+11,13127000800
